Infringement_Number,Trading_Name,Issuing_Authority,Date_Issued,Nature_of_Offence_Full,Offence_Code,Offence_Description,Offence_Date,Year,Month,Published_Address,Postcode,Amount_Payable,Offence_LGA
3225724536,"GOLDEN AUSTRALIAN FOOD, MUMS BUNS, AMRITAS",NSW Food Authority,1/03/2023,"Fail to maintain premises, fixtures, fittings, and equipment in a good state of repair and working order having regard to their use - previous warning given",11339,Fail to comply with Food Standards Code - Corporation,20/07/2022,2022,7,15 MEEKS ROAD  MARRICKVILLE 2204,2204,880,Inner West
3225724545,"GOLDEN AUSTRALIAN FOOD, MUMS BUNS, AMRITAS",NSW Food Authority,1/03/2023,Fail to ensure that persons undertaking or supervising food handling operations have skills and knowledge in food safety and food hygiene matters,11339,Fail to comply with Food Standards Code - Corporation,20/07/2022,2022,7,15 MEEKS ROAD  MARRICKVILLE 2204,2204,880,Inner West
3148696596,TONY JOE'S AMUSEMENTS,Wagga Wagga City Council,28/07/2022,Fail to ensure that at least one food safety supervisor has been appointed for the premises,73086,Not continue to have food safety supervisor for premises - Individual,17/12/2021,2021,12,3928 STURT HIGHWAY  GUMLY GUMLY 2652,2652,330,Wagga Wagga
3225724361,HENRIETTA CHARCOAL CHICKEN,NSW Food Authority,12/02/2023,Sale of food that is unsafe,11319,Sell unsafe food - Corporation,27/07/2022,2022,7,1/500 CROWN STREET  SURRY HILLS 2010,2010,1540,City of Sydney
3225724370,HENRIETTA CHARCOAL CHICKEN,NSW Food Authority,12/02/2023,Sale of food that is unsafe,11319,Sell unsafe food - Corporation,2/08/2022,2022,8,1/500 CROWN STREET  SURRY HILLS 2010,2010,1540,City of Sydney
3225724270,UNIPLUS PTY LTD,NSW Food Authority,5/10/2022,Fail to ensure food contact surfaces of equipment is in a clean and sanitary condition - previous warning given,11339,Fail to comply with Food Standards Code - Corporation,4/04/2022,2022,4,"UNIT 9, 354 CHISHOLM ROAD  AUBURN 2144",2144,880,Cumberland
3225724289,FSH MKT,NSW Food Authority,1/11/2022,Sale of food that is unsafe - Histamine level in Fish pattie Batch 10/5/22 exceeds limit of 200mg/kg - previous warning given,11319,Sell unsafe food - Corporation,11/05/2022,2022,5,4/17 WARNERS AVENUE  BONDI BEACH 2026,2026,1540,Waverley
3225724298,FSH MKT,NSW Food Authority,1/11/2022,Sale of food that is unsafe - Histamine level in Fish pattie Batch 9/3/22 exceeds limit of 200mg/kg - previous warning given,11319,Sell unsafe food - Corporation,11/05/2022,2022,5,4/17 WARNERS AVENUE  BONDI BEACH 2026,2026,1540,Waverley
3225724307,FSH MKT,NSW Food Authority,1/11/2022,Fail to ensure eating and drinking utensils is in a clean and sanitary condition,11339,Fail to comply with Food Standards Code - Corporation,11/05/2022,2022,5,4/17 WARNERS AVENUE  BONDI BEACH 2026,2026,880,Waverley
3225724316,FSH MKT,NSW Food Authority,31/10/2022,Fail to provide allergen advisory statements on request as required by the Food Standards Code - previous warning given,11343,Sell food packaged/labelled contravening Food Standards Code - Corporation,11/05/2022,2022,5,4/17 WARNERS AVENUE  BONDI BEACH 2026,2026,880,Waverley
3225724215,GOOD DIM SIM PTY LTD,NSW Food Authority,26/09/2022,Fail to maintain the food premises to the required standard of cleanliness - previous warning given,11339,Fail to comply with Food Standards Code - Corporation,12/04/2022,2022,4,173A TOWER STREET  PANANIA 2213,2213,880,Canterbury-Bankstown
3225724224,GOOD DIM SIM PTY LTD,NSW Food Authority,26/09/2022,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warning given",11339,Fail to comply with Food Standards Code - Corporation,12/04/2022,2022,4,173A TOWER STREET  PANANIA 2213,2213,880,Canterbury-Bankstown
3225724233,GOOD DIM SIM PTY LTD,NSW Food Authority,26/09/2022,Fail to take all practicable measures to prevent pests entering the food premises - previous warning given,11339,Fail to comply with Food Standards Code - Corporation,12/04/2022,2022,4,173A TOWER STREET  PANANIA 2213,2213,880,Canterbury-Bankstown
3225724242,GOOD DIM SIM PTY LTD,NSW Food Authority,26/09/2022,Fail to maintain at or near each hand washing facility a supply of - soap and warm running water - previous warning given,11339,Fail to comply with Food Standards Code - Corporation,12/04/2022,2022,4,173A TOWER STREET  PANANIA 2213,2213,880,Canterbury-Bankstown
3225724251,GOOD DIM SIM PTY LTD,NSW Food Authority,26/09/2022,"Fail to ensure walls and ceilings are sealed to prevent the entry of dirt, dust and pests - previous warning given",11339,Fail to comply with Food Standards Code - Corporation,12/04/2022,2022,4,173A TOWER STREET  PANANIA 2213,2213,880,Canterbury-Bankstown
3225724380,HENRIETTA CHARCOAL CHICKEN,NSW Food Authority,12/02/2023,"Fail to, when processing food, take all necessary steps to prevent the likelihood of food being contaminated",11339,Fail to comply with Food Standards Code - Corporation,31/08/2022,2022,8,1/500 CROWN STREET  SURRY HILLS 2010,2010,880,City of Sydney
3225724399,HENRIETTA CHARCOAL CHICKEN,NSW Food Authority,12/02/2023,"Fail to, when processing food, take all necessary steps to prevent the likelihood of food being contaminated",11339,Fail to comply with Food Standards Code - Corporation,31/08/2022,2022,8,1/500 CROWN STREET  SURRY HILLS 2010,2010,880,City of Sydney
3225724408,HENRIETTA CHARCOAL CHICKEN,NSW Food Authority,12/02/2023,Fail to maintain easily accessible hand washing facilities on the food premises - previous warning given,11339,Fail to comply with Food Standards Code - Corporation,31/08/2022,2022,8,1/500 CROWN STREET  SURRY HILLS 2010,2010,880,City of Sydney
7682202651,NO 1. BBQ HOUSE,Canterbury Bankstown Council,10/04/2023,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warnings given",11339,Fail to comply with Food Standards Code - Corporation,31/10/2022,2022,10,152 BEAMISH STREET  CAMPSIE 2194,2194,880,Canterbury-Bankstown
7682202660,NO 1. BBQ HOUSE,Canterbury Bankstown Council,10/04/2023,Fail to store potentially hazardous food under temperature control - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,31/10/2022,2022,10,152 BEAMISH STREET  CAMPSIE 2194,2194,880,Canterbury-Bankstown
7682202670,NO 1. BBQ HOUSE,Canterbury Bankstown Council,10/04/2023,Fail to store food in such a way that it is protected from the likelihood of contamination - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,31/10/2022,2022,10,152 BEAMISH STREET  CAMPSIE 2194,2194,880,Canterbury-Bankstown
3251297161,CINNAMON THAI CUISINE,City of Canada Bay Council,22/03/2023,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warnings given",11339,Fail to comply with Food Standards Code - Corporation,16/10/2022,2022,10,557 GREAT NORTH ROAD  ABBOTSFORD 2046,2046,880,City of Canada Bay
3251297170,CINNAMON THAI CUISINE,City of Canada Bay Council,22/03/2023,Fail to store food in such a way that it is protected from the likelihood of contamination - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,16/10/2022,2022,10,557 GREAT NORTH ROAD  ABBOTSFORD 2046,2046,880,City of Canada Bay
3251297180,CINNAMON THAI CUISINE,City of Canada Bay Council,22/03/2023,Fail to take all practicable measures to prevent pests entering the food premises - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,16/10/2022,2022,10,557 GREAT NORTH ROAD  ABBOTSFORD 2046,2046,880,City of Canada Bay
7682202597,KFC EARLWOOD,Canterbury Bankstown Council,10/04/2023,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warnings given",11339,Fail to comply with Food Standards Code - Corporation,6/11/2022,2022,11,27-29 WILLIAM STREET  EARLWOOD 2206,2206,880,Canterbury-Bankstown
3251289544,SUZUKI SUSHI BAR,City of Canada Bay Council,2/03/2023,Fail to have a temperature measuring device at the premises where potentially hazardous food is handled - previous warnings given,11338,Fail to comply with Food Standards Code - Individual,29/09/2022,2022,9,"SHOP 6, 38-50 LYONS ROAD  DRUMMOYNE 2047",2047,440,City of Canada Bay
3251289553,SUZUKI SUSHI BAR,City of Canada Bay Council,2/03/2023,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warnings given",11338,Fail to comply with Food Standards Code - Individual,29/09/2022,2022,9,"SHOP 6, 38-50 LYONS ROAD  DRUMMOYNE 2047",2047,440,City of Canada Bay
3161228548,TAMWORTH DRAGON PALACE,NSW Food Authority,24/11/2022,"Fail to, when processing food, take all necessary steps to prevent the likelihood of food being contaminated",11339,Fail to comply with Food Standards Code - Corporation,3/07/2022,2022,7,528 PEEL STREET  TAMWORTH 2340,2340,880,Tamworth
3223020608,JB AND SONS MANLY,Northern Beaches Council,28/10/2022,Fail to maintain at or near each hand washing facility a supply of - single use towels - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,16/06/2022,2022,6,49-51 SYDNEY ROAD  MANLY 2095,2095,880,Northern Beaches
3223020617,JB AND SONS MANLY,Northern Beaches Council,28/10/2022,Fail to maintain the food premises to the required standard of cleanliness - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,16/06/2022,2022,6,49-51 SYDNEY ROAD  MANLY 2095,2095,880,Northern Beaches
3223020626,JB AND SONS MANLY,Northern Beaches Council,28/10/2022,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warnings given",11339,Fail to comply with Food Standards Code - Corporation,16/06/2022,2022,6,49-51 SYDNEY ROAD  MANLY 2095,2095,880,Northern Beaches
3181150042,BLUE MOUNTAINS BUTTERY,Blue Mountains City Council,30/05/2022,Fail to take all practicable measures to eradicate and prevent the harbourage of pests,11338,Fail to comply with Food Standards Code - Individual,20/01/2022,2022,1,147-153 KATOOMBA STREET  KATOOMBA 2780,2780,440,Blue Mountains
3181150051,BLUE MOUNTAINS BUTTERY,Blue Mountains City Council,30/05/2022,Fail to maintain the food premises to the required standard of cleanliness,11338,Fail to comply with Food Standards Code - Individual,20/01/2022,2022,1,147-153 KATOOMBA STREEET  KATOOMBA 2780,2780,440,Blue Mountains
3181150060,BLUE MOUNTAINS BUTTERY,Blue Mountains City Council,30/05/2022,"Fail to ensure hand washing facilities are only used for the washing of hands, arms and face",11338,Fail to comply with Food Standards Code - Individual,20/01/2022,2022,1,147-153 KATOOMBA STREET  KATOOMBA 2780,2780,440,Blue Mountains
3145246639,BECCAS BAKERY,City of Parramatta Council,12/06/2023,Fail to maintain the food premises to the required standard of cleanliness,11338,Fail to comply with Food Standards Code - Individual,14/02/2023,2023,2,14 STATION STREET  DUNDAS 2117,2117,440,City of Parramatta
3161228557,HOLLAND FARMS PTY LTD,NSW Food Authority,15/12/2022,Fail to hold the required licence to carry on a food business or activity,11370,Carry on food business/activity without a licence - Corporation,24/08/2022,2022,8,146B CLIFTON AVENUE  KEMPS CREEK 2178,2178,1320,Penrith
3225724150,AGA SUPERMARKET,NSW Food Authority,23/09/2022,Fail to hold the required licence to carry on a food business or activity - previous warnings given,11370,Carry on food business/activity without a licence - Corporation,6/06/2022,2022,6,90 HALDON STREET  LAKEMBA 2195,2195,1320,Canterbury-Bankstown
3225724160,AGA SUPERMARKET,NSW Food Authority,23/09/2022,Fail to maintain the food premises to the required standard of cleanliness - previous warning given,11339,Fail to comply with Food Standards Code - Corporation,6/06/2022,2022,6,90 HALDON STREET  LAKEMBA 2195,2195,880,Canterbury-Bankstown
3225724179,AGA SUPERMARKET,NSW Food Authority,23/09/2022,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warning given",11339,Fail to comply with Food Standards Code - Corporation,6/06/2022,2022,6,90 HALDON STREET  LAKEMBA 2195,2195,880,Canterbury-Bankstown
3225724188,AGA SUPERMARKET,NSW Food Authority,23/09/2022,Fail to take all practicable measures to prevent pests entering the food premises - previous warning given,11339,Fail to comply with Food Standards Code - Corporation,6/06/2022,2022,6,90 HALDON STREET  LAKEMBA 2195,2195,880,Canterbury-Bankstown
3225724197,AGA SUPERMARKET,NSW Food Authority,23/09/2022,Fail to take all practicable measures to eradicate and prevent the harbourage of pests - previous warning given,11339,Fail to comply with Food Standards Code - Corporation,6/06/2022,2022,6,90 HALDON STREET  LAKEMBA 2195,2195,880,Canterbury-Bankstown
3225724206,AGA SUPERMARKET,NSW Food Authority,23/09/2022,"Fail to ensure walls and ceilings are sealed to prevent the entry of dirt, dust and pests - previous warning given",11339,Fail to comply with Food Standards Code - Corporation,6/06/2022,2022,6,90 HALDON STREET  LAKEMBA 2195,2195,880,Canterbury-Bankstown
3240101206,SAHAN MEZE-TOPIAN STREET FOOD,Cumberland City Council,16/06/2022,Fail to maintain the food premises to the required standard of cleanliness - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,1/03/2022,2022,3,35-39 AUBURN ROAD  AUBURN 2144,2144,880,Cumberland
3240101215,SAHAN MEZE-TOPIAN STREET FOOD,Cumberland City Council,16/06/2022,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warnings given",11339,Fail to comply with Food Standards Code - Corporation,1/03/2022,2022,3,35-39 AUBURN ROAD  AUBURN 2144,2144,880,Cumberland
3251346405,MYEONG DONG,City of Canada Bay Council,31/05/2023,Fail to store food in such a way that it is protected from the likelihood of contamination - previous warning given,11339,Fail to comply with Food Standards Code - Corporation,13/02/2023,2023,2,1-11 GEORGE STREET  NORTH STRATHFIELD 2137,2137,880,City of Canada Bay
3251346414,MYEONG DONG,City of Canada Bay Council,31/05/2023,Fail to maintain the food premises to the required standard of cleanliness - previous warning given,11339,Fail to comply with Food Standards Code - Corporation,13/02/2023,2023,2,1-11 GEORGE STREET  NORTH STRATHFIELD 2137,2137,880,City of Canada Bay
3225724132,CHUN SHING INTERNATIONAL TRADING,NSW Food Authority,19/09/2022,Fail to take all practicable measures to eradicate and prevent the harbourage of pests,11339,Fail to comply with Food Standards Code - Corporation,8/06/2022,2022,6,343-345 CHISHOLM ROAD  AUBURN 2144,2144,880,Cumberland
3225724141,CHUN SHING INTERNATIONAL TRADING,NSW Food Authority,19/09/2022,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warnings given",11339,Fail to comply with Food Standards Code - Corporation,8/06/2022,2022,6,343-345 CHISHOLM ROAD  AUBURN 2144,2144,880,Cumberland
3205620000,LIBERTY ELLIOT ROAD,Lismore City Council,6/02/2023,Fail to display potentially hazardous food under temperature control,11339,Fail to comply with Food Standards Code - Corporation,27/10/2022,2022,10,19 ELLIOTT ROAD  SOUTH LISMORE 2480,2480,880,Lismore
3240101316,JASMIN 1 LEBANESE RESTAURANT,Cumberland City Council,30/06/2022,Fail to maintain the food premises to the required standard of cleanliness - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,22/03/2022,2022,3,22 CIVIC ROAD  AUBURN 2144,2144,880,Cumberland
3240101325,JASMIN 1 LEBANESE RESTAURANT,Cumberland City Council,30/06/2022,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warnings given",11339,Fail to comply with Food Standards Code - Corporation,22/03/2022,2022,3,22 CIVIC ROAD  AUBURN 2144,2144,880,Cumberland
3240101334,JASMIN 1 LEBANESE RESTAURANT,Cumberland City Council,30/06/2022,Fail to store food in such a way that it is protected from the likelihood of contamination - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,22/03/2022,2022,3,22 CIVIC ROAD  AUBURN 2144,2144,880,Cumberland
3240101343,JASMIN 1 LEBANESE RESTAURANT,Cumberland City Council,30/06/2022,Fail to store potentially hazardous food under temperature control - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,22/03/2022,2022,3,22 CIVIC ROAD  AUBURN 2144,2144,880,Cumberland
3240101352,JASMIN 1 LEBANESE RESTAURANT,Cumberland City Council,30/06/2022,"Fail to, when processing food, take all necessary steps to prevent the likelihood of food being contaminated - previous warnings given",11339,Fail to comply with Food Standards Code - Corporation,22/03/2022,2022,3,22 CIVIC ROAD  AUBURN 2144,2144,880,Cumberland
3240101361,JASMIN 1 LEBANESE RESTAURANT,Cumberland City Council,30/06/2022,Fail to ensure the design and construction of the food premises is appropriate for the activities for which the premises are used - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,22/03/2022,2022,3,22 CIVIC ROAD  AUBURN 2144,2144,880,Cumberland
3225724325,VINO FOOD DISTRIBUTOR,NSW Food Authority,16/11/2022,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warning given",11338,Fail to comply with Food Standards Code - Individual,11/08/2022,2022,8,132-134  WATTLE AVENUE  CARRAMAR 2163,2163,440,Fairfield
3225724334,VINA FOOD DISTRIBUTOR,NSW Food Authority,16/11/2022,Fail to store food in such a way that it is protected from the likelihood of contamination - previous warning given,11338,Fail to comply with Food Standards Code - Individual,11/08/2022,2022,8,132-134  WATTLE AVENUE  CARRAMAR 2163,2163,440,Fairfield
3244563181,BAKERIE ATELIER,Willoughby City Council,12/12/2022,Fail to display potentially hazardous food under temperature control - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,7/09/2022,2022,9,"SHOP 24, 436 VICTORIA AVENUE  CHATSWOOD 2067",2067,880,Willoughby
3161228281,GREEN VALLEY BUTCHERY,NSW Food Authority,2/06/2022,Sale of food found to contain illegal preservative (sulphur dioxide) - premium lamb mince,11340,Sell food that fails to comply with the Food Standards Code - Individual,2/03/2022,2022,3,"G01, 92 PARRAMATTA ROAD  LIDCOMBE 2141",2141,440,Cumberland
3193101625,WELLSTONE FRESH SEAFOOD,Willoughby City Council,20/12/2022,Fail to ensure food contact surfaces of equipment is in a clean and sanitary condition - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,19/09/2022,2022,9,210 HIGH STREET  NORTH WILLOUGHBY 2068,2068,880,Willoughby
3244563172,KOOMI,Willoughby City Council,12/12/2022,Fail to ensure food contact surfaces of equipment is in a clean and sanitary condition - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,13/09/2022,2022,9,"SHOP 32, 436 VICTORIA AVENUE  CHATSWOOD 2067",2067,880,Willoughby
3251228723,PHO NOODLE HOUSE VIETNAMESE RESTAURANT,City of Canada Bay Council,29/11/2022,Fail to store food in such a way that it is protected from the likelihood of contamination - previous warning given,11338,Fail to comply with Food Standards Code - Individual,1/09/2022,2022,9,165 CONCORD ROAD  NORTH STRATHFIELD 2137,2137,440,City of Canada Bay
3223020819,THE THAI AND I,Northern Beaches Council,20/02/2023,Fail to store food in such a way that it is protected from the likelihood of contamination - previous warning given,11338,Fail to comply with Food Standards Code - Individual,24/11/2022,2022,11,10/26 THE STRAND  DEE WHY 2099,2099,440,Northern Beaches
3223020828,THE THAI AND I,Northern Beaches Council,20/02/2023,Fail to store potentially hazardous food under temperature control - previous warning given,11338,Fail to comply with Food Standards Code - Individual,24/11/2022,2022,11,10/26 THE STRAND  DEE WHY 2099,2099,440,Northern Beaches
3223020837,THE THAI AND I,Northern Beaches Council,20/02/2023,Fail to maintain at or near each hand washing facility a supply of - single use towels - previous warning given,11338,Fail to comply with Food Standards Code - Individual,24/11/2022,2022,11,10/26 THE STRAND  DEE WHY 2099,2099,440,Northern Beaches
3223020846,THE THAI AND I,Northern Beaches Council,20/02/2023,Fail to maintain the food premises to the required standard of cleanliness - previous warning given,11338,Fail to comply with Food Standards Code - Individual,24/11/2022,2022,11,10/26 THE STRAND  DEE WHY 2099,2099,440,Northern Beaches
3223020855,THE THAI AND I,Northern Beaches Council,20/02/2023,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warning given",11338,Fail to comply with Food Standards Code - Individual,24/11/2022,2022,11,10/26 THE STRAND  DEE WHY 2099,2099,440,Northern Beaches
3175458945,HOGS BREATH CAFE COFFS HARBOUR,Coffs Harbour City Council,21/10/2022,Fail to maintain the food premises to the required standard of cleanliness - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,27/07/2022,2022,7,"SHOP 59, 361 HARBOUR DRIVE  COFFS HARBOUR 2450",2450,880,Coffs Harbour
3225724343,VINO FOOD DISTRIBUTOR,NSW Food Authority,16/11/2022,Fail to maintain the food premises to the required standard of cleanliness - previous warning given,11338,Fail to comply with Food Standards Code - Individual,22/08/2022,2022,8,132-134  WATTLE AVENUE  CARRAMAR 2163,2163,440,Fairfield
3225724352,VINO FOOD DISTRIBUTOR,NSW Food Authority,16/11/2022,Fail to store food in such a way that it is protected from the likelihood of contamination - previous warning given,11338,Fail to comply with Food Standards Code - Individual,22/08/2022,2022,8,132-134  WATTLE AVENUE  CARRAMAR 2163,2163,440,Fairfield
7682202606,ORIGINAL KITCHEN,Canterbury Bankstown Council,10/04/2023,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warnings given",11339,Fail to comply with Food Standards Code - Corporation,15/01/2023,2023,1,"C1010, 548-568 CANTERBURY ROAD  CAMPSIE 2194",2194,880,Canterbury-Bankstown
3223020864,THE THAI AND I,Northern Beaches Council,20/02/2023,Fail to take all practicable measures to eradicate and prevent the harbourage of pests - previous warning given,11338,Fail to comply with Food Standards Code - Individual,28/11/2022,2022,11,10/26 THE STRAND  DEE WHY 2066,2066,440,Northern Beaches
3150629140,PHO NGON VIETNAMESE RESTAURANT,Hornsby Shire Council,6/10/2022,Fail to take all practicable measures to process only safe and suitable food - previous warnings given,11339,Fail to comply with Food Standards Code - Corporation,18/07/2022,2022,7,8-10 FLORENCE STREET  HORNSBY 2077,2077,880,Hornsby
3161228410,TURA BEACH MEATS AND DELI,NSW Food Authority,19/08/2022,Fail to comply with the requirements of a food safety scheme - previous warnings given,11372,Not comply with requirements of food safety scheme - Individual,1/06/2022,2022,6,"SHOP 13, TURA BEACH DRIVE  TURA BEACH 2548",2548,660,Bega Valley
3161228429,TURA BEACH MEATS AND DELI,NSW Food Authority,19/08/2022,Sale of food past its use-by date - previous warnings given,11344,Sell/advertise food contravening Food Standards Code - Individual,1/06/2022,2022,6,"SHOP 13, TURA BEACH DRIVE  TURA BEACH 2548",2548,440,Bega Valley
3193101533,MYUNG JUNG,Willoughby City Council,2/09/2022,Fail to maintain easily accessible hand washing facilities on the food premises,11339,Fail to comply with Food Standards Code - Corporation,15/06/2022,2022,6,"79A, 436 VICTORIA AVENUE  CHATSWOOD 2067",2067,880,Willoughby
3193101542,MYUNG JUNG,Willoughby City Council,2/09/2022,Fail to ensure food contact surfaces of equipment is in a clean and sanitary condition,11339,Fail to comply with Food Standards Code - Corporation,15/06/2022,2022,6,"79A, 436 VICTORIA AVENUE  CHATSWOOD 2067",2067,880,Willoughby
3161228438,PICK OF THE CROP AUSTRALIA PTY LTD,NSW Food Authority,7/09/2022,Fail to maintain the food premises to the required standard of cleanliness,11339,Fail to comply with Food Standards Code - Corporation,21/06/2022,2022,6,138A BEACONSFIELD STREET  REVESBY 2212,2212,880,Canterbury-Bankstown
3161228447,PICK OF THE CROP AUSTRALIA PTY LTD,NSW Food Authority,7/09/2022,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness",11339,Fail to comply with Food Standards Code - Corporation,21/06/2022,2022,6,138A BEACONSFIELD STREET  REVESBY 2212,2212,880,Canterbury-Bankstown
